job_id,job_title,location,work_mode,tech_stack,salary,key_responsibilities
JOB-10142,Mid-Level Node.js Developer,Remote - Global,Remote,"React Native, TypeScript, Firebase","$80,000-$120,000","Write clean, tested, and maintainable code; Collaborate with product and design teams; Design and implement APIs and services"
JOB-10143,Junior Site Reliability Engineer,"New York, NY, USA",Remote,"React, TypeScript, Node.js, PostgreSQL","$100,000-$130,000",Optimize performance and reliability; Participate in architecture discussions; Collaborate with product and design teams
JOB-10144,Junior Backend Engineer,"London, UK",Remote,"Java, Spring Boot, Kafka, Kubernetes","$140,000-$180,000",Participate in architecture discussions; Design and implement APIs and services; Build and maintain scalable applications
JOB-10145,Junior QA Automation Engineer,"São Paulo, Brazil",Hybrid,"Vue.js, Node.js, MongoDB",,Collaborate with product and design teams; Review pull requests and mentor team members; Design and implement APIs and services
JOB-10146,Principal Mobile Engineer,"São Paulo, Brazil",Onsite,"React, TypeScript, Node.js, PostgreSQL","$80,000-$100,000",Build and maintain scalable applications; Review pull requests and mentor team members; Participate in architecture discussions
JOB-10147,Staff React Developer,"São Paulo, Brazil",Remote,"Python, Django, PostgreSQL, AWS","$120,000-$140,000",Optimize performance and reliability; Design and implement APIs and services; Collaborate with product and design teams
JOB-10148,Senior Machine Learning Engineer,"Sydney, Australia",Onsite,"Vue.js, Node.js, MongoDB","$60,000-$90,000",Optimize performance and reliability; Review pull requests and mentor team members; Design and implement APIs and services
JOB-10149,Principal Mobile Engineer,"São Paulo, Brazil",Onsite,"Rust, PostgreSQL, AWS",,Participate in architecture discussions; Build and maintain scalable applications; Optimize performance and reliability
JOB-10150,Staff QA Automation Engineer,"Toronto, ON, Canada",Hybrid,"Next.js, Tailwind CSS, GraphQL","$60,000-$90,000",Monitor production systems and resolve issues; Review pull requests and mentor team members; Participate in architecture discussions
JOB-10151,Staff DevOps Engineer,"Sydney, Australia",Hybrid,"Next.js, Tailwind CSS, GraphQL","$60,000-$100,000","Write clean, tested, and maintainable code; Optimize performance and reliability; Review pull requests and mentor team members"
JOB-10152,Junior Frontend Engineer,"Lisbon, Portugal",Remote,"Next.js, Tailwind CSS, GraphQL","$60,000-$80,000","Write clean, tested, and maintainable code; Design and implement APIs and services; Build and maintain scalable applications"
JOB-10153,Principal Data Engineer,Remote - Americas,Hybrid,"Python, Django, PostgreSQL, AWS",,"Participate in architecture discussions; Write clean, tested, and maintainable code; Optimize performance and reliability"
JOB-10154,Senior Machine Learning Engineer,"London, UK",Hybrid,"Python, Django, PostgreSQL, AWS","$120,000-$140,000",Review pull requests and mentor team members; Collaborate with product and design teams; Optimize performance and reliability
JOB-10155,Junior DevOps Engineer,Remote - Americas,Hybrid,"Python, Django, PostgreSQL, AWS","$120,000-$150,000",Design and implement APIs and services; Monitor production systems and resolve issues; Collaborate with product and design teams
JOB-10156,Principal Cloud Engineer,"Sydney, Australia",Onsite,"React Native, TypeScript, Firebase","$120,000-$140,000","Build and maintain scalable applications; Collaborate with product and design teams; Write clean, tested, and maintainable code"
JOB-10157,Senior Cloud Engineer,"Berlin, Germany",Hybrid,"React, TypeScript, Node.js, PostgreSQL",,"Write clean, tested, and maintainable code; Participate in architecture discussions; Collaborate with product and design teams"
JOB-10158,Junior Backend Engineer,"Sydney, Australia",Remote,"Python, Django, PostgreSQL, AWS","$140,000-$190,000",Review pull requests and mentor team members; Monitor production systems and resolve issues; Participate in architecture discussions
JOB-10159,Mid-Level DevOps Engineer,"London, UK",Onsite,"Next.js, Tailwind CSS, GraphQL","$120,000-$160,000",Collaborate with product and design teams; Build and maintain scalable applications; Monitor production systems and resolve issues
JOB-10160,Junior Mobile Engineer,"São Paulo, Brazil",Onsite,"C#, .NET, Azure, SQL Server","$80,000-$100,000",Monitor production systems and resolve issues; Design and implement APIs and services; Review pull requests and mentor team members
JOB-10161,Staff Mobile Engineer,"Toronto, ON, Canada",Onsite,"Python, Django, PostgreSQL, AWS",,Optimize performance and reliability; Review pull requests and mentor team members; Build and maintain scalable applications
JOB-10162,Principal Site Reliability Engineer,"London, UK",Remote,"Go, gRPC, Docker, GCP","$100,000-$150,000",Participate in architecture discussions; Design and implement APIs and services; Build and maintain scalable applications
JOB-10163,Senior Full Stack Engineer,"San Francisco, CA, USA",Hybrid,"React Native, TypeScript, Firebase","$60,000-$90,000",Optimize performance and reliability; Build and maintain scalable applications; Participate in architecture discussions
JOB-10164,Mid-Level Backend Engineer,"Lisbon, Portugal",Onsite,"Go, gRPC, Docker, GCP","$120,000-$170,000",Optimize performance and reliability; Build and maintain scalable applications; Review pull requests and mentor team members
JOB-10165,Junior Platform Engineer,"New York, NY, USA",Hybrid,"Python, Django, PostgreSQL, AWS",,Optimize performance and reliability; Design and implement APIs and services; Review pull requests and mentor team members
JOB-10166,Staff Mobile Engineer,"Austin, TX, USA",Hybrid,"React, TypeScript, Node.js, PostgreSQL","$140,000-$190,000",Optimize performance and reliability; Collaborate with product and design teams; Design and implement APIs and services
JOB-10167,Junior Platform Engineer,"Austin, TX, USA",Remote,"C#, .NET, Azure, SQL Server","$120,000-$160,000",Participate in architecture discussions; Design and implement APIs and services; Build and maintain scalable applications
JOB-10168,Senior Full Stack Engineer,"Berlin, Germany",Remote,"Python, Django, PostgreSQL, AWS","$120,000-$160,000",Collaborate with product and design teams; Design and implement APIs and services; Participate in architecture discussions
JOB-10169,Mid-Level Cloud Engineer,"Berlin, Germany",Hybrid,"Java, Spring Boot, Kafka, Kubernetes",,Review pull requests and mentor team members; Build and maintain scalable applications; Collaborate with product and design teams
JOB-10170,Mid-Level Machine Learning Engineer,"San Francisco, CA, USA",Onsite,"Python, Django, PostgreSQL, AWS","$100,000-$130,000","Write clean, tested, and maintainable code; Participate in architecture discussions; Optimize performance and reliability"
JOB-10171,Principal Node.js Developer,Remote - Global,Hybrid,"Rust, PostgreSQL, AWS","$120,000-$170,000",Optimize performance and reliability; Participate in architecture discussions; Monitor production systems and resolve issues
JOB-10172,Staff Frontend Engineer,"São Paulo, Brazil",Hybrid,"React Native, TypeScript, Firebase","$100,000-$130,000",Design and implement APIs and services; Monitor production systems and resolve issues; Build and maintain scalable applications
JOB-10173,Senior Data Engineer,"Austin, TX, USA",Hybrid,"Python, FastAPI, Redis, Docker",,Monitor production systems and resolve issues; Build and maintain scalable applications; Participate in architecture discussions
JOB-10174,Junior Site Reliability Engineer,"Austin, TX, USA",Onsite,"Rust, PostgreSQL, AWS","$100,000-$140,000",Participate in architecture discussions; Review pull requests and mentor team members; Design and implement APIs and services
JOB-10175,Staff Cloud Engineer,Remote - Global,Onsite,"Go, gRPC, Docker, GCP","$140,000-$160,000",Optimize performance and reliability; Design and implement APIs and services; Review pull requests and mentor team members
JOB-10176,Junior QA Automation Engineer,"Austin, TX, USA",Hybrid,"Python, Django, PostgreSQL, AWS","$140,000-$170,000","Write clean, tested, and maintainable code; Build and maintain scalable applications; Collaborate with product and design teams"
JOB-10177,Staff QA Automation Engineer,Remote - Americas,Onsite,"Rust, PostgreSQL, AWS",,"Write clean, tested, and maintainable code; Monitor production systems and resolve issues; Participate in architecture discussions"
JOB-10178,Staff Node.js Developer,"Berlin, Germany",Onsite,"Rust, PostgreSQL, AWS","$100,000-$150,000",Build and maintain scalable applications; Participate in architecture discussions; Optimize performance and reliability
JOB-10179,Senior Frontend Engineer,Remote - Americas,Onsite,"C#, .NET, Azure, SQL Server","$100,000-$120,000","Design and implement APIs and services; Write clean, tested, and maintainable code; Optimize performance and reliability"
JOB-10180,Senior Frontend Engineer,Remote - Global,Onsite,"Java, Spring Boot, Kafka, Kubernetes","$140,000-$170,000","Optimize performance and reliability; Write clean, tested, and maintainable code; Monitor production systems and resolve issues"
JOB-10181,Staff Backend Engineer,Remote - Global,Onsite,"Python, Django, PostgreSQL, AWS",,Design and implement APIs and services; Monitor production systems and resolve issues; Review pull requests and mentor team members
JOB-10182,Principal Frontend Engineer,"Sydney, Australia",Onsite,"C#, .NET, Azure, SQL Server","$100,000-$130,000","Optimize performance and reliability; Build and maintain scalable applications; Write clean, tested, and maintainable code"
JOB-10183,Mid-Level DevOps Engineer,"São Paulo, Brazil",Remote,"Go, gRPC, Docker, GCP","$100,000-$130,000","Write clean, tested, and maintainable code; Collaborate with product and design teams; Build and maintain scalable applications"
JOB-10184,Principal Node.js Developer,Remote - Americas,Onsite,"Vue.js, Node.js, MongoDB","$100,000-$120,000","Build and maintain scalable applications; Optimize performance and reliability; Write clean, tested, and maintainable code"
JOB-10185,Principal Backend Engineer,Remote - Global,Hybrid,"Java, Spring Boot, Kafka, Kubernetes",,"Write clean, tested, and maintainable code; Collaborate with product and design teams; Optimize performance and reliability"
JOB-10186,Staff Software Engineer,"Lisbon, Portugal",Hybrid,"Go, gRPC, Docker, GCP","$140,000-$170,000","Monitor production systems and resolve issues; Design and implement APIs and services; Write clean, tested, and maintainable code"
JOB-10187,Principal Full Stack Engineer,"London, UK",Hybrid,"Go, gRPC, Docker, GCP","$120,000-$150,000",Optimize performance and reliability; Monitor production systems and resolve issues; Design and implement APIs and services
JOB-10188,Senior Node.js Developer,"Lisbon, Portugal",Onsite,"Vue.js, Node.js, MongoDB","$120,000-$170,000",Participate in architecture discussions; Collaborate with product and design teams; Monitor production systems and resolve issues
JOB-10189,Principal Backend Engineer,"London, UK",Remote,"Python, FastAPI, Redis, Docker",,Optimize performance and reliability; Design and implement APIs and services; Build and maintain scalable applications
JOB-10190,Senior Frontend Engineer,"San Francisco, CA, USA",Hybrid,"Python, FastAPI, Redis, Docker","$140,000-$160,000","Write clean, tested, and maintainable code; Participate in architecture discussions; Review pull requests and mentor team members"
JOB-10191,Staff Cloud Engineer,"Berlin, Germany",Remote,"C#, .NET, Azure, SQL Server","$60,000-$90,000",Build and maintain scalable applications; Review pull requests and mentor team members; Design and implement APIs and services
JOB-10192,Staff Frontend Engineer,"Berlin, Germany",Remote,"React, TypeScript, Node.js, PostgreSQL","$100,000-$130,000",Optimize performance and reliability; Build and maintain scalable applications; Monitor production systems and resolve issues
JOB-10193,Senior Node.js Developer,"San Francisco, CA, USA",Remote,"React, TypeScript, Node.js, PostgreSQL",,Design and implement APIs and services; Participate in architecture discussions; Review pull requests and mentor team members
JOB-10194,Staff Machine Learning Engineer,"New York, NY, USA",Remote,"React, TypeScript, Node.js, PostgreSQL","$80,000-$130,000",Design and implement APIs and services; Collaborate with product and design teams; Participate in architecture discussions
JOB-10195,Junior Node.js Developer,"London, UK",Remote,"React Native, TypeScript, Firebase","$140,000-$190,000",Collaborate with product and design teams; Build and maintain scalable applications; Monitor production systems and resolve issues
JOB-10196,Junior Frontend Engineer,"São Paulo, Brazil",Onsite,"Vue.js, Node.js, MongoDB","$120,000-$170,000",Build and maintain scalable applications; Optimize performance and reliability; Design and implement APIs and services
JOB-10197,Principal Full Stack Engineer,"San Francisco, CA, USA",Hybrid,"C#, .NET, Azure, SQL Server",,"Build and maintain scalable applications; Design and implement APIs and services; Write clean, tested, and maintainable code"
JOB-10198,Mid-Level Site Reliability Engineer,"Sydney, Australia",Remote,"Vue.js, Node.js, MongoDB","$80,000-$130,000",Optimize performance and reliability; Build and maintain scalable applications; Design and implement APIs and services
JOB-10199,Staff Python Developer,"São Paulo, Brazil",Remote,"C#, .NET, Azure, SQL Server","$140,000-$160,000","Optimize performance and reliability; Write clean, tested, and maintainable code; Monitor production systems and resolve issues"
JOB-10200,Junior DevOps Engineer,"Toronto, ON, Canada",Onsite,"Python, Django, PostgreSQL, AWS","$60,000-$100,000",Optimize performance and reliability; Collaborate with product and design teams; Build and maintain scalable applications
JOB-10201,Senior Data Engineer,"Berlin, Germany",Onsite,"Java, Spring Boot, Kafka, Kubernetes",,Monitor production systems and resolve issues; Optimize performance and reliability; Review pull requests and mentor team members
JOB-10202,Junior React Developer,"São Paulo, Brazil",Remote,"React Native, TypeScript, Firebase","$80,000-$110,000",Review pull requests and mentor team members; Build and maintain scalable applications; Collaborate with product and design teams
JOB-10203,Senior Data Engineer,"Lisbon, Portugal",Onsite,"Python, FastAPI, Redis, Docker","$60,000-$100,000",Design and implement APIs and services; Build and maintain scalable applications; Optimize performance and reliability
JOB-10204,Senior Python Developer,"New York, NY, USA",Onsite,"Next.js, Tailwind CSS, GraphQL","$80,000-$120,000","Design and implement APIs and services; Build and maintain scalable applications; Write clean, tested, and maintainable code"
JOB-10205,Staff Cloud Engineer,"Lisbon, Portugal",Onsite,"Python, FastAPI, Redis, Docker",,"Participate in architecture discussions; Write clean, tested, and maintainable code; Collaborate with product and design teams"
JOB-10206,Senior Cloud Engineer,Remote - Americas,Hybrid,"Python, Django, PostgreSQL, AWS","$120,000-$170,000",Participate in architecture discussions; Build and maintain scalable applications; Review pull requests and mentor team members
JOB-10207,Principal Mobile Engineer,"Berlin, Germany",Remote,"Python, Django, PostgreSQL, AWS","$140,000-$170,000","Optimize performance and reliability; Monitor production systems and resolve issues; Write clean, tested, and maintainable code"
JOB-10208,Principal React Developer,"Lisbon, Portugal",Remote,"Python, FastAPI, Redis, Docker","$100,000-$150,000",Optimize performance and reliability; Review pull requests and mentor team members; Build and maintain scalable applications
JOB-10209,Senior Machine Learning Engineer,"Lisbon, Portugal",Hybrid,"React, TypeScript, Node.js, PostgreSQL",,Collaborate with product and design teams; Optimize performance and reliability; Participate in architecture discussions
JOB-10210,Principal Node.js Developer,"Sydney, Australia",Remote,"React, TypeScript, Node.js, PostgreSQL","$120,000-$160,000","Write clean, tested, and maintainable code; Participate in architecture discussions; Design and implement APIs and services"
JOB-10211,Mid-Level Frontend Engineer,"Toronto, ON, Canada",Onsite,"Next.js, Tailwind CSS, GraphQL","$120,000-$140,000",Optimize performance and reliability; Review pull requests and mentor team members; Design and implement APIs and services
JOB-10212,Staff DevOps Engineer,"Berlin, Germany",Hybrid,"Python, Django, PostgreSQL, AWS","$60,000-$90,000","Write clean, tested, and maintainable code; Design and implement APIs and services; Monitor production systems and resolve issues"
JOB-10213,Staff DevOps Engineer,"Sydney, Australia",Hybrid,"Go, gRPC, Docker, GCP",,Collaborate with product and design teams; Build and maintain scalable applications; Optimize performance and reliability
JOB-10214,Principal Platform Engineer,Remote - Americas,Remote,"React Native, TypeScript, Firebase","$80,000-$130,000",Design and implement APIs and services; Optimize performance and reliability; Review pull requests and mentor team members
JOB-10215,Staff Full Stack Engineer,"Austin, TX, USA",Remote,"Python, Django, PostgreSQL, AWS","$80,000-$120,000",Monitor production systems and resolve issues; Collaborate with product and design teams; Optimize performance and reliability
JOB-10216,Senior Site Reliability Engineer,"Berlin, Germany",Onsite,"Python, Django, PostgreSQL, AWS","$120,000-$140,000","Design and implement APIs and services; Write clean, tested, and maintainable code; Collaborate with product and design teams"
JOB-10217,Mid-Level Node.js Developer,"Berlin, Germany",Onsite,"Go, gRPC, Docker, GCP",,Collaborate with product and design teams; Monitor production systems and resolve issues; Participate in architecture discussions
JOB-10218,Junior DevOps Engineer,Remote - Americas,Onsite,"Next.js, Tailwind CSS, GraphQL","$80,000-$130,000",Monitor production systems and resolve issues; Participate in architecture discussions; Design and implement APIs and services
JOB-10219,Junior Mobile Engineer,"Lisbon, Portugal",Onsite,"Python, FastAPI, Redis, Docker","$80,000-$100,000",Participate in architecture discussions; Monitor production systems and resolve issues; Review pull requests and mentor team members
JOB-10220,Mid-Level DevOps Engineer,"Sydney, Australia",Remote,"Python, FastAPI, Redis, Docker","$140,000-$160,000",Monitor production systems and resolve issues; Optimize performance and reliability; Design and implement APIs and services
